"CITY_ID","CITY_NAME","STATE_ID","STATUS","CREATED_BY","CREATED_ON","MODIFIED_BY","MODIFIED_ON"
5425,"Bardhaman",41,1,"",,"",
5426,"Basirhat",41,1,"",,"",
5496,"Kottakkal",19,1,"",,"",
5497,"Kothamangalam",19,1,"",,"",
5429,"Bhanugudi",2,1,"",,"",
5430,"Bhatinda",32,1,"",,"",
5498,"Kondotty",19,1,"",,"",
5441,"Bolpur",41,1,"",,"",
5442,"Bongaon",41,1,"",,"",
5443,"Brahmapur Town",41,1,"",,"",
5444,"Burdwan",41,1,"",,"",
5445,"Calicut",19,1,"",,"",
5446,"Chalakudy",19,1,"",,"",
5447,"Changanassery",19,1,"",,"",
5448,"Ranaghat",41,1,"",,"",
5449,"Rampurhat",41,1,"",,"",
5450,"Raiganj",41,1,"",,"",
5506,"Idukki",35,1,"",,"",
5452,"Purulia",41,1,"",,"",
5453,"Pinjore",13,1,"",,"",
5507,"Hassan",17,1,"",,"",
5508,"Harihar",17,1,"",,"",
5511,"Dhar",21,1,"",,"",
5457,"Nabadwip",41,1,"",,"",
5458,"Medinipur",41,1,"",,"",
5459,"Mecheda",41,1,"",,"",
5460,"Mannarkkad",19,1,"",,"",
5461,"Malda",41,1,"",,"",
5462,"Cochin",19,1,"",,"",
5512,"Deoghar",16,1,"",,"",
5513,"Damoh",21,1,"",,"",
5517,"Champa",7,1,"",,"",
5466,"Kothagudem",36,1,"",,"",
5518,"Bidhannagar",41,1,"",,"",
5468,"Kolkata",41,1,"",,"",
5469,"Karaikudi",35,1,"",,"",
5470,"Jalpaiguri",41,1,"",,"",
5471,"Hooghly",41,1,"",,"",
5472,"Haldia",41,1,"",,"",
5474,"Howrah",41,1,"",,"",
5481,"Dharwad",17,1,"",,"",
5482,"Darjeeling",41,1,"",,"",
5483,"Cooch Behar",41,1,"",,"",
5484,"Chittaranjan",41,1,"",,"",
962,"Belthangady",17,1,"",,"",
5620,"vashi",22,1,"",,"",
5643,"SIWAN",5,1,"",,"",
5695,"NEYVELI",35,1,"",,"",
5696,"NAWGONG",21,1,"",,"",
5697,"NAWANSHAHR",32,1,"",,"",
5698,"NALBARI",4,1,"",,"",
5699,"NAIHATI",41,1,"",,"",
5700,"MUZAFFARNAGAR",38,1,"",,"",
5701,"MUSSOORIE",39,1,"",,"",
5702,"MORADABAD",38,1,"",,"",
5703,"MONGHYR",5,1,"",,"",
5704,"MONGALDOI",4,1,"",,"",
5705,"MOKAMEH",5,1,"",,"",
5706,"Mughalsarai",38,1,"",,"",
5707,"MIRZAPUR",38,1,"",,"",
5708,"MIDNAPORE",41,1,"",,"",
5709,"MERCARA",17,1,"",,"",
5712,"MAU",38,1,"",,"",
5713,"MANDI",14,1,"",,"",
5714,"MAHABUBNAGAR",36,1,"",,"",
5751,"Chinsurah",41,1,"",,"",
5752,"Chikmagalur",17,1,"",,"",
5753,"Changanacherry",19,1,"",,"",
5754,"Chhapra",5,1,"",,"",
5755,"Chandannagar",41,1,"",,"",
5763,"Begusarai",5,1,"",,"",
5764,"Baharampur",41,1,"",,"",
6072,"ORAS",22,1,"",,"",
6073,"CHANASMA",12,1,"",,"",
6074,"SEONI MALWA",21,1,"",,"",
6075,"HONAWAR",17,1,"",,"",
6076,"ANKOLA",17,1,"",,"",
6077,"RAWATSAR",33,1,"",,"",
6078,"HOLENARASIPUR",17,1,"",,"",
6079,"MULTAI",21,1,"",,"",
6080,"ODDANCHATRAM",35,1,"",,"",
6081,"GUDALUR",35,1,"",,"",
6082,"MOUDA",22,1,"",,"",
6083,"ARANTHANGI",35,1,"",,"",
6084,"SADULSHAHAR",33,1,"",,"",
6085,"PARBATSAR",33,1,"",,"",
6086,"DHANERA",12,1,"",,"",
6087,"MANGROL",12,1,"",,"",
6088,"PONNAMARAVATHI",35,1,"",,"",
6089,"SIRKALI",35,1,"",,"",
6090,"SWARUPGANJ",33,1,"",,"",
6091,"KANDUKUR",2,1,"",,"",
6092,"SHAHPURA",33,1,"",,"",
6093,"TEKKALI",2,1,"",,"",
6094,"VISAVADAR",12,1,"",,"",
6095,"MANAVADAR",12,1,"",,"",
6096,"THURAIYUR",35,1,"",,"",
6097,"ANNUR",35,1,"",,"",
6098,"ARIYALUR",35,1,"",,"",
6099,"THIRUVANAMALAI",35,1,"",,"",
6100,"HOLALKERE",17,1,"",,"",
6101,"YELAMANCHILI",2,1,"",,"",
6102,"VIJAYAPURA",17,1,"",,"",
6103,"AVINASHI",35,1,"",,"",
6104,"BHIMADOLE",2,1,"",,"",
6105,"MANSA PB",32,1,"",,"",
6106,"NEEMRANA",33,1,"",,"",
6107,"AMARAVATHI",2,1,"",,"",
6108,"KAGAL",22,1,"",,"",
6109,"RAIRANGPUR",29,1,"",,"",
6110,"SAHA",13,1,"",,"",
6111,"SAMALKHA",13,1,"",,"",
6112,"FAZILKA",32,1,"",,"",
6113,"RAILMAGARA",33,1,"",,"",
6114,"JALESWAR",29,1,"",,"",
6115,"DAUSA",33,1,"",,"",
6116,"BALUGAON",29,1,"",,"",
6117,"THANAGAZI",33,1,"",,"",
6118,"MUKERIAN",32,1,"",,"",
6119,"KANIHA",29,1,"",,"",
6120,"MANCHERIAL",36,1,"",,"",
6121,"SASARAM",5,1,"",,"",
6122,"MUSIRI",35,1,"",,"",
6123,"MERTA CITY",33,1,"",,"",
6124,"JOGINDER NAGAR",14,1,"",,"",
6125,"MEMARI",41,1,"",,"",
6126,"DUNGARPUR",33,1,"",,"",
6127,"INDAPUR",22,1,"",,"",
6128,"INDRI",13,1,"",,"",
6129,"RAIBAREILLY",38,1,"",,"",
6130,"ADIMALI",19,1,"",,"",
6131,"MALERKOTLA",32,1,"",,"",
6132,"DASUYA",32,1,"",,"",
6133,"GOHANA",13,1,"",,"",
6134,"NAYAGARH",29,1,"",,"",
6135,"LADWA",13,1,"",,"",
6136,"RAMPURA PHUL",32,1,"",,"",
6137,"AMARPATAN",21,1,"",,"",
6138,"KOOTHATTUKULAM",19,1,"",,"",
6139,"KODUNGALOOR",19,1,"",,"",
6140,"NAKODAR",32,1,"",,"",
6141,"DHARMABAD",22,1,"",,"",
6142,"TOHANA",13,1,"",,"",
5710,"MENJERI",19,1,"",,"",
5711,"MEERUT",38,1,"",,"",
6143,"CHIRMIRI",7,1,"",,"",
5929,"GOBICHETTIPALAYAM",35,1,"",,"",
5930,"SARNI",21,1,"",,"",
5931,"BABRA",12,1,"",,"",
5932,"SIURI",41,1,"",,"",
5933,"UDHAGAMANDALAM",35,1,"",,"",
5934,"BILAGI",17,1,"",,"",
5935,"NEEMUCH",21,1,"",,"",
5936,"GOOTY",2,1,"",,"",
5937,"YEMMIGANUR",2,1,"",,"",
5938,"TIRORA",22,1,"",,"",
5939,"BANGANAGAR",41,1,"",,"",
5940,"NARSIPATNAM",2,1,"",,"",
5941,"ANUPPUR",21,1,"",,"",
5942,"CHATRA",16,1,"",,"",
5943,"KRISHNA",2,1,"",,"",
5944,"BHARATPUR",33,1,"",,"",
5945,"DHAMNOD",21,1,"",,"",
5946,"BARWANI",21,1,"",,"",
5947,"BADNAGAR",21,1,"",,"",
5948,"LUNAVADA",12,1,"",,"",
5949,"KANNADIPARAMBA",19,1,"",,"",
5950,"SRIVILLIPUTHUR",35,1,"",,"",
5951,"ARUPPUKOTTAI",35,1,"",,"",
5952,"GADARWARA",21,1,"",,"",
5953,"FATEHPUR RJ",33,1,"",,"",
5954,"LONAND",22,1,"",,"",
5955,"VANIYAMBADI",35,1,"",,"",
5956,"NAGAPATTINAM",35,1,"",,"",
5957,"AMBASAMUDRAM",35,1,"",,"",
5958,"DHARMAVARAM",2,1,"",,"",
5959,"TIRUKKOYILUR",35,1,"",,"",
5960,"SOMPETA",2,1,"",,"",
5961,"GINGEE",35,1,"",,"",
5962,"EDAPPADI",35,1,"",,"",
5963,"GAJENDRAGARH",17,1,"",,"",
5964,"SOJAT",33,1,"",,"",
5965,"NAWALGARH",33,1,"",,"",
5966,"METTUR",35,1,"",,"",
5967,"CHHABRA",33,1,"",,"",
5968,"SENDHWA",21,1,"",,"",
5969,"KADIRI",2,1,"",,"",
5970,"BOBBILI",2,1,"",,"",
5971,"SIRSI",17,1,"",,"",
5972,"CHIDAMBARAM",35,1,"",,"",
5973,"SAMALKOTA",2,1,"",,"",
5974,"SAIDAPUR",17,1,"",,"",
5975,"PRANTIJ",12,1,"",,"",
5976,"TOSHAM",13,1,"",,"",
5977,"LAXMANGARH",33,1,"",,"",
5978,"ITAWA",33,1,"",,"",
5979,"GULABPURA",33,1,"",,"",
5980,"ANTA",33,1,"",,"",
5981,"NOWGONG",21,1,"",,"",
5982,"DEVAKOTTAI",35,1,"",,"",
5983,"JAITARAN",33,1,"",,"",
5984,"SANGARIYA",33,1,"",,"",
5985,"DUDU",33,1,"",,"",
5986,"PANNA",21,1,"",,"",
5987,"SULLURPETA",2,1,"",,"",
5988,"DINDORI MH",22,1,"",,"",
5989,"KAPASAN",33,1,"",,"",
5990,"VINUKONDA",2,1,"",,"",
5991,"NARSAPUR",2,1,"",,"",
5992,"PARAMAKUDI",35,1,"",,"",
5993,"TIRUVARUR",35,1,"",,"",
5994,"SANKARANKOVIL",35,1,"",,"",
5995,"MELUR",35,1,"",,"",
5996,"NASRULLAGANJ",21,1,"",,"",
5997,"RASIPURAM",35,1,"",,"",
5998,"KARELI",21,1,"",,"",
5999,"SHEOGANJ",33,1,"",,"",
6000,"BHINMAL",33,1,"",,"",
6001,"SAKOLI",22,1,"",,"",
6002,"HOSADURGA",17,1,"",,"",
6003,"KALAYAR KOVIL",35,1,"",,"",
6004,"PULIVENDLA",2,1,"",,"",
6005,"TAGARAPUVALASA",2,1,"",,"",
6006,"SARDARSHAHAR",33,1,"",,"",
6007,"NABAGRAM",41,1,"",,"",
6008,"NAIDUPETA",2,1,"",,"",
6009,"CHEYYAR",35,1,"",,"",
6010,"BEMETARA",7,1,"",,"",
6011,"ABHANPUR",7,1,"",,"",
6012,"MULBAGAL",17,1,"",,"",
6013,"MACHERLA",2,1,"",,"",
6014,"BADVEL",2,1,"",,"",
6015,"KURUD",7,1,"",,"",
6016,"MUNGELI",7,1,"",,"",
6017,"MALUR",17,1,"",,"",
6018,"DEVANAHALLI",17,1,"",,"",
6019,"FALNA",33,1,"",,"",
6020,"KOLAR GOLD FIELD",17,1,"",,"",
6021,"PONNUR",2,1,"",,"",
6022,"KALAMB",22,1,"",,"",
6023,"TALCHER",29,1,"",,"",
6024,"PADAMPUR",33,1,"",,"",
6025,"SURANDAI",35,1,"",,"",
6026,"MAIDUKUR",2,1,"",,"",
6027,"PALAI",19,1,"",,"",
6028,"KORATAGERE",17,1,"",,"",
6029,"KOMARAPALAYAM",35,1,"",,"",
6030,"SRI VIJAINAGAR",33,1,"",,"",
6031,"MANSA",12,1,"",,"",
6032,"JANGAREDDYGUDEM",2,1,"",,"",
6033,"MADDUR",17,1,"",,"",
6034,"SANDUR",17,1,"",,"",
6035,"HANGAL",17,1,"",,"",
6036,"MEDHA",22,1,"",,"",
6037,"MUDDEBIHAL",17,1,"",,"",
6038,"PORUMAMILLA",2,1,"",,"",
6039,"NANGAL",32,1,"",,"",
6040,"PAMIDI",2,1,"",,"",
6041,"BHOKAR",22,1,"",,"",
6042,"GHARAUNDA",13,1,"",,"",
6043,"KALNA",41,1,"",,"",
6044,"SIRHIND",32,1,"",,"",
6045,"MALOUT",32,1,"",,"",
6046,"KATTAPANA",19,1,"",,"",
6047,"ERAL",35,1,"",,"",
6048,"VENKATAGIRI",2,1,"",,"",
6049,"BISHNUPUR",41,1,"",,"",
6050,"KARAIKAL",31,1,"",,"",
6051,"BHAWANIPATNA",29,1,"",,"",
6052,"TINDIVANAM",35,1,"",,"",
6053,"NAIGAON",22,1,"",,"",
6054,"GARHSHANKAR",32,1,"",,"",
6055,"DHUPGURI",41,1,"",,"",
6056,"ARANI",35,1,"",,"",
6057,"SORO",29,1,"",,"",
6058,"HALVAD",12,1,"",,"",
6059,"NATEPUTE",22,1,"",,"",
6060,"THIRUTHANI",35,1,"",,"",
6061,"NIDADAVOLU",2,1,"",,"",
6062,"VILATHIKULAM",35,1,"",,"",
6063,"UNA",14,1,"",,"",
6064,"KALLAKURICHI",35,1,"",,"",
6065,"SULTAN BATHERY",19,1,"",,"",
6066,"SUPA MH",22,1,"",,"",
6067,"GANGAKHED",22,1,"",,"",
6068,"PEHOWA",13,1,"",,"",
6069,"SAUSAR",21,1,"",,"",
6070,"KARAMALA",22,1,"",,"",
6071,"PANRUTI",35,1,"",,"",
6247,"NARAYANGAON",22,1,"",,"",
6248,"AMBAD",22,1,"",,"",
6249,"TALODE",22,1,"",,"",
6250,"KURUDWADI",22,1,"",,"",
6251,"ZAHIRABAD",36,1,"",,"",
6252,"PINDWARA",33,1,"",,"",
6253,"SANAND",12,1,"",,"",
6254,"VARANGAON",22,1,"",,"",
6255,"KAMPTEE",22,1,"",,"",
6256,"KHED",22,1,"",,"",
6257,"PENNAGARAM",35,1,"",,"",
6258,"NIMBAHERA",33,1,"",,"",
6259,"YAWAL",22,1,"",,"",
6260,"KARJAN",12,1,"",,"",
6261,"TIRUCHIRAPALLY",35,1,"",,"",
6262,"SASVAD",22,1,"",,"",
6263,"MOHOL",22,1,"",,"",
6264,"TASGAON",22,1,"",,"",
6265,"SINNAR",22,1,"",,"",
6266,"DONDAICHA",22,1,"",,"",
6267,"MAVELIKARA",19,1,"",,"",
6268,"ANJAR",12,1,"",,"",
6269,"HARDWAR",39,1,"",,"",
6270,"SHRIRAMPUR",22,1,"",,"",
6271,"BELPAHAR",17,1,"",,"",
6272,"IDAR",12,1,"",,"",
6273,"WARANANAGAR",22,1,"",,"",
6274,"KAMAREDDY",36,1,"",,"",
6275,"SRIGANGANAGAR",13,1,"",,"",
6276,"SANTIPUR",41,1,"",,"",
6277,"KATOL",22,1,"",,"",
6278,"THOOTHUKKUDI",35,1,"",,"",
6279,"NABEEN",29,1,"",,"",
6280,"PADRA",12,1,"",,"",
6281,"BRAHMAVAR",17,1,"",,"",
6282,"HINGOLI",22,1,"",,"",
6283,"CUDDAPAH",2,1,"",,"",
6284,"DEULGAON RAJA",22,1,"",,"",
6285,"CHAS",16,1,"",,"",
6286,"SUPA",17,1,"",,"",
6287,"AKLUJ",22,1,"",,"",
6288,"ANANTHAPUR",2,1,"",,"",
6289,"UMARGAM",12,1,"",,"",
6290,"NEEM KA THANA",33,1,"",,"",
6291,"BURHAR",21,1,"",,"",
6292,"MORSHI",22,1,"",,"",
6293,"LIMKHEDA",12,1,"",,"",
6294,"KESHOD",12,1,"",,"",
6295,"SHIRVAL",22,1,"",,"",
6296,"BAYAD",12,1,"",,"",
6297,"SAVDA",22,1,"",,"",
6298,"VADIA",12,1,"",,"",
6299,"WANAPARTHI",36,1,"",,"",
6300,"SUJANPUR",32,1,"",,"",
6301,"SANTRAMPUR",12,1,"",,"",
6302,"WAI",22,1,"",,"",
6303,"WAYANAD",19,1,"",,"",
6304,"SATANA",22,1,"",,"",
6305,"DAPOLI",22,1,"",,"",
6306,"JASIDIH",16,1,"",,"",
6307,"NIRMAL",36,1,"",,"",
6308,"DERABASSI",6,1,"",,"",
6309,"BICHOLIM",11,1,"",,"",
6310,"PAYYANUR",19,1,"",,"",
6311,"SRIPERUMBUDUR",35,1,"",,"",
6312,"AMBHAJOGAI",22,1,"",,"",
6313,"SIMULIA",29,1,"",,"",
6314,"ACHALPUR PARATWADA",22,1,"",,"",
6315,"MANSAR",22,1,"",,"",
6316,"URAN",22,1,"",,"",
6317,"BYNDOOR",17,1,"",,"",
6318,"SIDDIPET",36,1,"",,"",
6319,"PATTAMUNDAI",29,1,"",,"",
6320,"KULLU",14,1,"",,"",
6321,"KENDUJHAR",29,1,"",,"",
6322,"DARYAPUR",22,1,"",,"",
6323,"MIHIJAM",41,1,"",,"",
6324,"BUTIBORI",22,1,"",,"",
6325,"RANGA REDDY",36,1,"",,"",
6326,"RAJAMPET",2,1,"",,"",
6327,"KUTCH",12,1,"",,"",
6328,"ALLEPPEY",19,1,"",,"",
6329,"NANDGAON",22,1,"",,"",
6330,"SIOLIM",11,1,"",,"",
6331,"ATHANI",17,1,"",,"",
6332,"PRODDATUR",2,1,"",,"",
6333,"NEDUMANGAD",19,1,"",,"",
6334,"ULHASNAGAR",22,1,"",,"",
6335,"BAHULA",41,1,"",,"",
6336,"SAYAN",12,1,"",,"",
6337,"JAGTIAL",36,1,"",,"",
6338,"SATTUR",35,1,"",,"",
6339,"UNDRI",22,1,"",,"",
6340,"JHUMRI TILAIYA",16,1,"",,"",
6341,"SHAHDAB MARKANDA",13,1,"",,"",
6342,"DEORUKH",22,1,"",,"",
6343,"LADNUN",33,1,"",,"",
6344,"SATLASANA",12,1,"",,"",
6345,"MADIVALA",17,1,"",,"",
6346,"AHMEDPUR",22,1,"",,"",
6347,"SHAHABAD MARKANDA",13,1,"",,"",
6348,"PILIBHIT",38,1,"",,"",
6349,"MEHKAR",22,1,"",,"",
6350,"PAITHAN",22,1,"",,"",
6351,"JANJGIR CHAMPA",7,1,"",,"",
6352,"NARKHED",22,1,"",,"",
6353,"CORLIM",11,1,"",,"",
6354,"BALLAVPUR",41,1,"",,"",
6355,"KOTKAPURA",32,1,"",,"",
6356,"KHURAI",21,1,"",,"",
6357,"NEELAMANGLA",17,1,"",,"",
6358,"MAYURBHANJ",29,1,"",,"",
6359,"JOYNAGAR",41,1,"",,"",
6466,"Sathyamangalam",35,1,"",,"",
6467,"Chinthalapudi",2,1,"",,"",
6468,"Becharaji",12,1,"",,"",
6469,"Bilaspur Hr",13,1,"",,"",
6470,"Chikhli Gj",12,1,"",,"",
6471,"Fatepura",12,1,"",,"",
6472,"Jalalabad",32,1,"",,"",
6473,"Karera",21,1,"",,"",
6474,"Kasibugga",2,1,"",,"",
6475,"Manawar",21,1,"",,"",
6476,"Talawandi Saboo",32,1,"",,"",
6477,"Penukonda",2,1,"",,"",
6478,"Sawai Madhopur",33,1,"",,"",
6479,"Shindurni",22,1,"",,"",
6480,"Shrigonda",22,1,"",,"",
6481,"Umorkote",29,1,"",,"",
6482,"Yanam",31,1,"",,"",
6483,"Kodangal",36,1,"",,"",
5551,"Akot",22,1,"",,"",
5552,"Anantpur",2,1,"",,"",
5553,"B C Road",17,1,"",,"",
5554,"Bagalkot",17,1,"",,"",
5555,"Banswara",33,1,"",,"",
5556,"Baramati",22,1,"",,"",
5557,"Baran",33,1,"",,"",
5560,"Bhuj",12,1,"",,"",
5561,"Bidar",17,1,"",,"",
5562,"Bijapur",17,1,"",,"",
5563,"Bundi",33,1,"",,"",
5564,"Chhindwara",21,1,"",,"",
5565,"Chopda",22,1,"",,"",
5567,"Gadag",17,1,"",,"",
5568,"Ganganagar",33,1,"",,"",
5569,"Gokak",17,1,"",,"",
5570,"Guna",21,1,"",,"",
5571,"Hanumangarh",33,1,"",,"",
5572,"Haveri",17,1,"",,"",
5573,"Hospet",17,1,"",,"",
5574,"Jajpur Road",29,1,"",,"",
5575,"Jamner",22,1,"",,"",
5576,"Karvar",17,1,"",,"",
5577,"Khandwa",21,1,"",,"",
5578,"Kishangarh",33,1,"",,"",
5599,"Satna",21,1,"",,"",
5600,"Sehore",21,1,"",,"",
5601,"Shahapur",17,1,"",,"",
5602,"Sikar",33,1,"",,"",
5603,"Sujangarh",33,1,"",,"",
5604,"Suratgarh",33,1,"",,"",
5607,"Thiruvannamalai",36,1,"",,"",
5608,"Vidisha",21,1,"",,"",
5609,"Vizianagram",2,1,"",,"",
5610,"Marthandam",35,1,"",,"",
5611,"Abu Road",33,1,"",,"",
62,"Nuziveedu",2,1,"",,"",
63,"Rajam",2,1,"",,"",
64,"Pileru",2,1,"",,"",
66,"Semiliguda",29,1,"",,"",
5524,"Talchar",29,1,"",,"",
5525,"Unnao",38,1,"",,"",
5526,"Contai",41,1,"",,"",
5527,"Arrah",5,1,"",,"",
5528,"Katwa",41,1,"",,"",
5529,"Angul",29,1,"",,"",
5530,"Purnia",5,1,"",,"",
5531,"Perambra",19,1,"",,"",
5532,"Pala",19,1,"",,"",
5533,"Mhow",21,1,"",,"",
5534,"Thamarasseri",19,1,"",,"",
5535,"Tinsukhia",4,1,"",,"",
5536,"Darbhanga",5,1,"",,"",
5537,"Jorahat",4,1,"",,"",
5538,"Pilbhit",38,1,"",,"",
5539,"Akkalkot",22,1,"",,"",
5540,"Motihari",5,1,"",,"",
5541,"Samastipur",5,1,"",,"",
5542,"Sivasagar",4,1,"",,"",
5543,"Chatarpur",29,1,"",,"",
5544,"Piduguralla",2,1,"",,"",
5545,"Karaikkal",35,1,"",,"",
5546,"Chikballapur",17,1,"",,"",
5549,"Jhunjhunu",33,1,"",,"",
5550,"Mysuru",17,1,"",,"",
5558,"Barshi",22,1,"",,"",
5559,"Beawar",33,1,"",,"",
5566,"Davanagere",17,1,"",,"",
5579,"Kundapura",17,1,"",,"",
5580,"Morbi",12,1,"",,"",
5581,"Mehsana",12,1,"",,"",
5582,"Mundra",12,1,"",,"",
5583,"Nadiad",12,1,"",,"",
5584,"Nelambur",19,1,"",,"",
5585,"Gurugram",13,1,"",,"",
5586,"Ottappalam",19,1,"",,"",
5587,"Palakad",19,1,"",,"",
5588,"Palakollu",2,1,"",,"",
5589,"Palasa Kasibugga",2,1,"",,"",
5590,"Paratwada",22,1,"",,"",
5591,"Parvathipuram",2,1,"",,"",
